post_shortcode,commenter_username,comment_text,comment_likes
DG4_hyAPuZF,quotawaala,Mohabbat Ki Dukaan: face_with_symbols_on_mouth:,2
DG4_hyAPuZF,not_yours_abhay_19,To kya kr rhe h log..in madarchodo k hath me suar bana kr: paig: ka maans kyu nhi khila paa rhe h ..,1
DG4_hyAPuZF,abhi_jha_darbhanga,Yogi ji ky ho rha,0
DG4_hyAPuZF,its_1baba,@myogi_adityanath,0
DG4_hyAPuZF,shubhamtyagi2012,@myogi_adityanath :clapping_hands:,0
DG4_hyAPuZF,lekhi42131156,Aaise inke sath ho toh,0
DG4_hyAPuZF,omkumar.sharma.503,En jaise mullo ke bhi ghar walo ka hal ayesa karna chahiye jaise dusaro ke sath karte hai,0
DG4_hyAPuZF,surajpalsharma2015,Wo khahe gai thi unke pass,0
DG4_hyAPuZF,durgesh.khadke,:enraged_face::enraged_face::enraged_face::enraged_face:,0
DG4_hyAPuZF,saklani811,"This one who speaks blind devotees to the other, what is this, Gawar is illiterate, it should be burnt alive, it is only rapist, the government should take concrete action against them, they walk on the path of jihad, when their religion will wake up when the government will wake up.",0
DG4_hyAPuZF,akshayyatri,Muslim samaj ke liye gandgi h enko kit nask dena jaruri h ab abs,0
DG4_hyAPuZF,kumar.devendra68,रवां के मुँह में गु. गु,0
DG4_hyAPuZF,su.re9952,Tension mat lo tumhare bhi gand mein vaise gussa aaenge,0
DG4_hyAPuZF,vikas.shing.125,Chandrashekhar azad ki ek bhi state mani ni i i,0
DG4_hyAPuZF,dearparas,Even the children of such cheap greedy jinnat and devil cannot be done by our duplicate.,0
DG4_hyAPuZF,cuticiousshreya95_arts,Kamina tera sir milega haraamkhor besharam .... kitni ghatiya bate sikhaya jata h tum logo ko tumhare masjid me: enraged_face :: Enraged_face :: Enraged_Face: Tum Sb K Liye Ne Ek Hi Jagah INDINA Mein Tum sb mar jao ... ghatiya mentality k log: enraged_face :: enraged_face :: enraged_face:,0
DG4_hyAPuZF,rajesh.muthur1,Toh humhe bhi aise jihadi malechyo ka sarva naash kar na chahiye: enraged_face :: enraged_face :: enraged_face:,0
DG4_hyAPuZF,hindu_himanshu_sanatani,#hindu,0
DG4_hyAPuZF,brijendra6679,Ye toh aise hua jaise rakshaso ko puraskaar dena dusht krityon ke liye.,0
DG4_hyAPuZF,its_goutam_shiivam,Jay bhim .. Jay meem:enraged_face::enraged_face::enraged_face:,0
DG4_hyAPuZF,amitchoubey1982,Inki gandi kitab me yahi padhaya jata hai,0
DG4_hyAPuZF,amitchoubey1982,"Sale Haiwan Hain, Duniya is Dharam Per Thook Rahi Hai",0
DG4_hyAPuZF,justt.aarush8,Vo acid iske piche daalo,0
DG4_hyAPuZF,msd_lover1,Bhosdike inki andhnamazi ki koi sima hi nhi ..,0
DG4_hyAPuZF,joshi_sahebji,Yogi ji: fire: sangiyan le: clapping_hands: dosiyo ko saja e mot deena jaruri h: clapping_hands:,0
DG4_hyAPuZF,netra.bagh,Bhosdi wala rawan aur bhim army wale ab kuchh nahi bolenege .. unke jeeja aur baap ne jo ye ku kriyta kie hai,0
DG4_hyAPuZF,mish_ra055,:crying_face::crying_face::crying_face:,0
DG4_hyAPuZF,hulk_bysoul,"Janna Mile Na Mile, Inhe Us Raaste Bhejna Ab Sanataniyo ka kaam hai.",0
DG4_hyAPuZF,devanshu1794,Wo kaha hai chandrasekhar ajad Ravan?,0
DG4_hyAPuZF,1111divinesoul_tarot,Government should take action no  women girl safe in india of any religion because we dont have strict law,0
DG4_hyAPuZF,satish_dhakad1,@Uppolice @myogi_adityanath,0
DG4_hyAPuZF,anandpr09,Kaise bhai kaise jannat milegi be jahnnum mein bhi tujhe jagah nhi nhi milegi be,0
DG4_hyAPuZF,prakash08nangrale,"Now in the heaven, hot oil will be pulsing in the Gand ..: PIG:",0
DG4_hyAPuZF,asachdev266,Dimaagi Roop Se Bimaar Kaum,0
DG4_hyAPuZF,atulebhati,gent,0
DG4_hyAPuZF,chandansoni992,@ nk.Danta,0
DG4_hyAPuZF,prakash_keshari07,Tatti bhi nhi milegaa kisi ke galat krne se..be kind for everyone,0
DG4_hyAPuZF,sash_name_is_sufficient,shame,0
DG4_hyAPuZF,sachin4941sharma,Jannat Mein Mein Mera Dada Baitha Tha Lauda Khol Le Vah Milega Tumhen Bahan Ke Loade Madrachod Do Randi Ki Aulad Do Suar Ke Bacchon Ek Suar Ki Aulad Do,0
DG4_hyAPuZF,ankur_____ji,जय भीम जय मीम :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: हिन्दू मुस्लिम भाई भाई :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DG4_hyAPuZF,aagam_gopani,Jay Bheem jay meem vale kaha gaye:face_with_tears_of_joy::face_with_tears_of_joy:,0
DG4_hyAPuZF,krishnarajnaitam1991,Wow k: fire :: Fire: Ya Soch Hai,0
DG4_hyAPuZF,ravindramishra283,AAB MILE GI Jannat Tensan maat lo up me h na bas,0
DG4_hyAPuZF,m_area57,Is news ka source kya hi kaha milega dekhne padne sunne ko kaha apne padha dekh suna batayege news ka source to mention kar do bhi jake ham bhi jake ham bhi badhe kaha ki ghatana hi ya apne khude khude lai hi,0
DG4_hyAPuZF,vivekgoyal496,agr baski hai na sarkar ke to 2 mahine tk ek ek krke sare ang katee inke (ek to pehle se aadha hai hai in haramkhoro ka),0
DG4_hyAPuZF,msurendrapanwar,"How many male hur do women get in paradise. Are they also 72?  72 to men, 72 to women, 72 are more fun. Congratulations, all the women going to Jannat will get 72 Male Hur together .: face_with_tears_of_joy:",0
DG4_hyAPuZF,iron_boy_crazy,Aise logo ke liye rule bana na chahiye beech pe execution wala shame on this people,0
DG4_hyAPuZF,keshavkhavde,Chutiya has gone to Ravana.: Crying_face :: Crying_face:,0
DG4_hyAPuZF,mr__.aaqib,Phansi do sell kutton ko,0
DG4_hyAPuZF,sachinpandey5627,Ishko Direct Jannat Beji Fir Aur Ishke aur Ho Unko Bhi Bejo,0
DG4_hyAPuZF,sng_poja,Where is that Chandrasekhar Ravana?,0
DG4_hyAPuZF,abcdxyz12332111,Sarakar se request hai ki in bhosdiwalo ko jaldi se jannat pochaya jaaye,0
DG4_hyAPuZF,deen_islam110_,Should be hanged.,0
DG4_hyAPuZF,_kushalbhutada,Shoot To kill :check_mark:,0
DG4_hyAPuZF,kh.adim9571,Wah landbhagato :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DG4_hyAPuZF,sanskari_bache7,": face_with_rolling_eyes: sare comments padh liy, nile color vali ne apne jija k bare m kuch nhi bola or kisi jadu ki kitab vale ne iska ninda ki u",0
DG4_hyAPuZF,vishal_karosiya,Paradise is that Randikhana ...,0
DG4_hyAPuZF,kritika_chakrabborty,Ruled by Satan. A demonic religion for a reason. Bhavishya Puran is right about them,0
DG4_hyAPuZF,kritika_chakrabborty,"Waise kehna to nhi chahiye lekin bheem army type k log jo khud mullo ka support krke hindus k aganst jaate hai, wo ye deserve krte hai..i am not sad at all",0
DG4_hyAPuZF,fs.ffaa,"Agar tum sahi ho to iski bolti hui video upload karo jisme isne kaha hai ki jannat milegi, tum saale log apne vives aur nafrat failne ke liye har time",0
DG4_hyAPuZF,trueindore,Ab Ravan Kaha Hai: face_with_tears_of_joy: Sala do muha sanp,0
DG4_hyAPuZF,shreya_thakur_7,:star_and_crescent:huslam:pile_of_poo: :star_and_crescent:huslim:pig_face:,0
DG4_hyAPuZF,ayush_awasthi_27,Bheemand kaha gaye ????,0
DG4_hyAPuZF,chhote7258,"Are bhai aap dalit likhna band karo, kisi ki cast mat bataya karo tabhi to Hindu samaj ek nhi ho pa raha hai",0
DG4_hyAPuZF,vijaychavan2493,:crying_face:,0
DG4_hyAPuZF,patriot1935,Teri maa ki choodth me jannath,0
DG4_hyAPuZF,singhvandana298,Bhimto bhaichara band karo jihadi always jihadi q bhul jate ho,0
DG4_hyAPuZF,ashishnagar405,Good huh i am blind: clapping_hands:,0
DG4_hyAPuZF,maddynand43,Chandrashekhar rawan kha gya apni rajneeti se to karta hai: face_with_tears_of_joy:,0
DG4_hyAPuZF,up_63_apps,Waise chandrashekhar ravan kaha gyab hi etne dino se,0
DG4_hyAPuZF,nagendra.saini.125,Neela Pigeon What was the name Ravan Chand Shekhar will no longer be sambhidhan in danger: face_with_tears_of_joy :: face_with_tears_of_joy :: face_with_tears_of_jiy:,0
DG4_hyAPuZF,ex_hindu_rajput_5,Dalito ko bhadkane ki nakamura kosis :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DG4_hyAPuZF,kausar_hayat_07860786,Fake statement hai ye islam mai rapist ko shidha mout ki saza hai kuch bhi fake bana rahe hai,0
DG4_hyAPuZF,harikant1989,Khud ko dlito ka masiha kidr mar gya uski awaj nhi sunai pdi yhi abi khas kr k glti se koi hindu sawarn samj se hota to sabi giddh ekthha ho gye ho gye hote hote dan pani le kr ... bolna h to bolo sabhi k liye .... nhi to faltu ki rajniti krne ki jarurat nahi h ..... is trah ki hrkte krwane walo ki bs ek sza incounter bina mzhb dhrm dekhe ...,0
