post_shortcode,commenter_username,comment_text,translated_text,comment_likes
DGnmkOJO5rx,ayebreezayyy,"No, this isn’t what I asked for :melting_face: 
Success isn’t built on struggle and sacrifice alone. Growth isn’t just about enduring discomfort… it’s about learning, evolving, and finding alignment with what truly matters. The idea that ambition must come at the cost of peace or free time feels…outdated. Success isn’t just about pushing harder it’s also about working smarter, prioritizing well-being, and creating a life that feels fulfilling, not just productive. We can embrace ambition without burning ourselves out. We can grow without suffering. We can build the lives we want while still making space for joy, rest, and balance.
Release the shackles of hustle culture, and LIVE.","No, this isn’t what I asked for :melting_face: 
Success isn’t built on struggle and sacrifice alone. Growth isn’t just about enduring discomfort… it’s about learning, evolving, and finding alignment with what truly matters. The idea that ambition must come at the cost of peace or free time feels…outdated. Success isn’t just about pushing harder it’s also about working smarter, prioritizing well-being, and creating a life that feels fulfilling, not just productive. We can embrace ambition without burning ourselves out. We can grow without suffering. We can build the lives we want while still making space for joy, rest, and balance.
Release the shackles of hustle culture, and LIVE.",17
DGnmkOJO5rx,anne.palmer.92560,:hundred_points: % true,:hundred_points: % true,0
DGnmkOJO5rx,dhanyavijayang,Truth,Truth,0
DGnmkOJO5rx,rajattssharma_3,:folded_hands:,:folded_hands:,0
DGnmkOJO5rx,terilynnefit,Spark,Spark,0
DGnmkOJO5rx,fit.ita,:hundred_points:,:hundred_points:,0
DGnmkOJO5rx,papish_malibu,Thank you. I needed to see this today.,Thank you. I needed to see this today.,0
DGnmkOJO5rx,jimmygreenup,Oooooo weeeee :fire::fire::fire:,Oooooo weeeee :fire::fire::fire:,0
DGnmkOJO5rx,gosheen,:hundred_points:,:hundred_points:,0
DGnmkOJO5rx,susan.whoop_whoop,:red_heart::red_heart::red_heart: WORD :red_heart::red_heart::red_heart:,:red_heart::red_heart::red_heart: WORD :red_heart::red_heart::red_heart:,0
DGnmkOJO5rx,mimi_x.o_,:red_heart:,:red_heart:,0
DGnmkOJO5rx,_masonjones15,Amen,Amen,0
DGnmkOJO5rx,briedimino,That part :clapping_hands_medium-light_skin_tone:,That part :clapping_hands_medium-light_skin_tone:,0
DGnmkOJO5rx,ethansellsroofs,:fire:,:fire:,0
DGnmkOJO5rx,sharim1123,seems for me it stay uncomfortable and hard when does what I ask for arrive been years!,seems for me it stay uncomfortable and hard when does what I ask for arrive been years!,0
DGnmkOJO5rx,mr.stephenb.1814,:light_bulb:!!,:light_bulb:!!,0
DGnmkOJO5rx,fire.n.ice_alaska,Spot on :fire::fire::fire::red_heart::red_heart::red_heart:,Spot on :fire::fire::fire::red_heart::red_heart::red_heart:,0
DGnmkOJO5rx,btop_concepts,Absolutely true,Absolutely true,0
DGnmkOJO5rx,losspreventionlures,:hundred_points:,:hundred_points:,0
DGnmkOJO5rx,anycelife,:clapping_hands::clapping_hands::clapping_hands:,:clapping_hands::clapping_hands::clapping_hands:,0
DGnmkOJO5rx,prof_julius_kelp8,Well that depends,Well that depends,0
DGnmkOJO5rx,hey_kimmyee,:clapping_hands::clapping_hands::clapping_hands:,:clapping_hands::clapping_hands::clapping_hands:,0
DGnmkOJO5rx,_janelleybean,:folded_hands_medium-light_skin_tone::raising_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone:,:folded_hands_medium-light_skin_tone::raising_hands_medium-light_skin_tone::folded_hands_medium-light_skin_tone:,0
DGnmkOJO5rx,sarishtysharma0397,:fire:,:fire:,0
DGnmkOJO5rx,taliaupgradeyou,:fire::fire::fire:,:fire::fire::fire:,0
DGnmkOJO5rx,nova_cadamatre_mw,This hit home for me today,This hit home for me today,0
DGnmkOJO5rx,delicatehibiscus,:fire::fire::fire:,:fire::fire::fire:,0
DGnmkOJO5rx,ayoorayyrayy,:gem_stone:,:gem_stone:,0
DGnmkOJO5rx,popular_demand_85,The only complaint is to much free time… Jesus,The only complaint is to much free time… Jesus,0
DGnmkOJO5rx,happyhappeningsdesigns,:raising_hands::raising_hands::raising_hands:,:raising_hands::raising_hands::raising_hands:,0
DGnmkOJO5rx,shedrack.ngene.3,"A dog that you're picking lice from it's body without showing it will think you are wicked, awareness is needed between the two relating to avoid effort in futility","A dog that you're picking lice from it's body without showing it will think you are wicked, awareness is needed between the two relating to avoid effort in futility",0
DGnmkOJO5rx,mj_keilani,Needed,Needed,0
DGnmkOJO5rx,preety_xarah,May the resources we need to do life always be at our disposal :folded_hands_medium_skin_tone:,May the resources we need to do life always be at our disposal :folded_hands_medium_skin_tone:,0
DGnmkOJO5rx,sayuri.arts,"I tell myself ""just a little more, it won't always be like this"" :folded_hands::pink_heart: helps me a lot!!","I tell myself ""just a little more, it won't always be like this"" :folded_hands::pink_heart: helps me a lot!!",0
DGnmkOJO5rx,chef.life.hacks,:pleading_face::pleading_face:,:pleading_face::pleading_face:,0
DGnmkOJO5rx,vernacat21,This is exactly what I needed to hear today :red_heart:,This is exactly what I needed to hear today :red_heart:,0
DGnmkOJO5rx,bechererunfilteredart,I just asked for a divorce :woman_shrugging_light_skin_tone:,I just asked for a divorce :woman_shrugging_light_skin_tone:,0
DGnmkOJO5rx,ms_iamkingdom,Whew...More Grace Lord Jesus,Whew...More Grace Lord Jesus,0
DGnmkOJO5rx,hisnameislinear,@jhenny1210 :crying_face:,@jhenny1210 :crying_face:,0
DGnmkOJO5rx,freshcolnfarms,:raising_hands::raising_hands::raising_hands::raising_hands:,:raising_hands::raising_hands::raising_hands::raising_hands:,0
DGnmkOJO5rx,grit_for_it,:red_heart:,:red_heart:,0
DGnmkOJO5rx,rayray_vee,This was beautifully written :loudly_crying_face:,This was beautifully written :loudly_crying_face:,0
DGnmkOJO5rx,lyannkluong,:white_heart::white_heart::white_heart:,:white_heart::white_heart::white_heart:,0
DGnmkOJO5rx,sustas_in_unity,Facts :hundred_points::hundred_points::hundred_points::hundred_points::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone:,Facts :hundred_points::hundred_points::hundred_points::hundred_points::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone::clapping_hands_medium-dark_skin_tone:,0
DGnmkOJO5rx,lele_biyela,I needed to hear this so much. Thank you:red_heart:,I needed to hear this so much. Thank you:red_heart:,0
DGnmkOJO5rx,nalurids,:relieved_face:,:relieved_face:,0
DGnmkOJO5rx,abelli88,:flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone:,:flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone::flexed_biceps_medium_skin_tone:,0
DGnmkOJO5rx,rosebalquin,:raising_hands::raising_hands::raising_hands:,:raising_hands::raising_hands::raising_hands:,0
DGnmkOJO5rx,karolinyroque,Yes :crying_face:,Yes :crying_face:,0
DGnmkOJO5rx,s.o.u.p.417,Always willing to pay the price for the growth I ask for:red_heart:,Always willing to pay the price for the growth I ask for:red_heart:,0
DGnmkOJO5rx,millenniallivingwell,"Love this! Not everyone understands the hustle behind success. People notice the success which can be in terms of wealth or popularity but not everyone understands the years of hardwork, the late nights and sacrifing opportunities to relax in order to achieve the goal..","Love this! Not everyone understands the hustle behind success. People notice the success which can be in terms of wealth or popularity but not everyone understands the years of hardwork, the late nights and sacrifing opportunities to relax in order to achieve the goal..",0
DGnmkOJO5rx,gaztrawnaurmeh,:<,:<,0
DGnmkOJO5rx,fitmommamisak,Its what is needed to level up!,Its what is needed to level up!,0
DGnmkOJO5rx,mfouillard,:sparkling_heart::raising_hands_medium-light_skin_tone:,:sparkling_heart::raising_hands_medium-light_skin_tone:,0
DGnmkOJO5rx,aflamealighteth,FACTS!!! :fire::fire::fire::fire:,FACTS!!! :fire::fire::fire::fire:,0
DGnmkOJO5rx,hustle_merch_,Well said!,Well said!,0
DGnmkOJO5rx,itsguillermo_bruh,Facts. :hundred_points:,Facts. :hundred_points:,0
DGnmkOJO5rx,r3l3ntl355,:fire::fire::fire::fire::fire::fire::fire:,:fire::fire::fire::fire::fire::fire::fire:,0
DGnmkOJO5rx,andy.stirrat,Spark,Spark,0
DGnmkOJO5rx,rebeccadesignsalife,"""this isn't punishment, this is the price"" :fire::fire::fire:","""this isn't punishment, this is the price"" :fire::fire::fire:",0
DGnmkOJO5rx,dilaraeken.dvag,:red_heart:,:red_heart:,0
DGnmkOJO5rx,tahoeb77,Well said. :raising_hands::red_heart:,Well said. :raising_hands::red_heart:,0
DGnmkOJO5rx,kj5366964,,,0
DGnmkOJO5rx,shawna_sturkey_weeks,Yes :raising_hands_medium-dark_skin_tone:,Yes :raising_hands_medium-dark_skin_tone:,0
DGnmkOJO5rx,youngdaddy_f4l,Fair enough onwards it is then old me died its quite sad tho new me im getting to know i need more confidence tbh :rolling_on_the_floor_laughing:,Fair enough onwards it is then old me died its quite sad tho new me im getting to know i need more confidence tbh :rolling_on_the_floor_laughing:,0
DGnmkOJO5rx,makeupbyseng,This hit home :loudly_crying_face:,This hit home :loudly_crying_face:,0
DGnmkOJO5rx,chubbymermaidbrewing,There is no substitute for determination and personal sacrifice for a desired outcome.,There is no substitute for determination and personal sacrifice for a desired outcome.,0
DGnmkOJO5rx,eilenegrace,@grzljireh,@grzljireh,0
DGnmkOJO5rx,gold.co.za,So profound!,So profound!,0
DGnmkOJO5rx,chefstephan.ayiti,:red_heart::red_heart:,:red_heart::red_heart:,0
DGnmkOJO5rx,doc.reed.bass,:bullseye::bullseye::bullseye:,:bullseye::bullseye::bullseye:,0
DGnmkOJO5rx,diimccore,Too much to deal with :crying_face:,Too much to deal with :crying_face:,0
DGnmkOJO5rx,hadhra25,Spark,Spark,0
DGnmkOJO5rx,divinelocsandcurls,:fire:boom!,:fire:boom!,0
DGnmkOJO5rx,zx.gong22,:fire::fire::fire:,:fire::fire::fire:,0
DGnmkOJO5rx,heydj.official,:hundred_points:,:hundred_points:,0
DGnmkOJO5rx,funmiiolaitan,Reallllllllllll,Reallllllllllllllllll,0
DGnmkOJO5rx,leskayemusic,damn :clapping_hands::clapping_hands:,damn :clapping_hands::clapping_hands:,0
DGnmkOJO5rx,chesb_,:fire::fire::fire::fire::fire:,:fire::fire::fire::fire::fire:,0
DGnmkOJO5rx,empire_crafter_,You just spoke to me :crying_face:,You just spoke to me :crying_face:,0
DGnmkOJO5rx,kimdsilva,:fire::fire::fire:,:fire::fire::fire:,0
DGnmkOJO5rx,jeanynda,:red_heart:,:red_heart:,0
DGnmkOJO5rx,coffeequeenish,:clapping_hands::clapping_hands::crying_face::fire:,:clapping_hands::clapping_hands::crying_face::fire:,0
DGnmkOJO5rx,ishitutkarsh,Amen:red_heart:,Amen:red_heart:,0
DGnmkOJO5rx,h_u_s_h_y,So damn relatable :fire:,So damn relatable :fire:,0
DGnmkOJO5rx,ashleyannnadler,I love thissss,I love thissss,0
DGnmkOJO5rx,nina_sinuhaji,,,0
DGnmkOJO5rx,alrizealot,:raising_hands_light_skin_tone:,:raising_hands_light_skin_tone:,0
DGnmkOJO5rx,_sharly.texas_,I hear you loud and clear :clapping_hands::clapping_hands:,I hear you loud and clear :clapping_hands::clapping_hands:,0
DGnmkOJO5rx,hana.falwasser,This is something I needed to read. Get into the uncomfortable. TY x,This is something I needed to read. Get into the uncomfortable. TY x,0
DGnmkOJO5rx,scolastica_eva,:red_heart::fire:,:red_heart::fire:,0
DGnmkOJO5rx,lindss_michele,:fire::fire::fire:,:fire::fire::fire:,0
DGnmkOJO5rx,justkeelie,Understood :red_heart:,Understood :red_heart:,0
DGnmkOJO5rx,axelle_saillier_dnb,:raising_hands::raising_hands:,:raising_hands::raising_hands:,0
DGnmkOJO5rx,itzz.scarface,I hate how it’s collective belief that we have to suffer and go through pain to gain success and growth. I’ve been learning how to unlearn that mindset.,I hate how it’s collective belief that we have to suffer and go through pain to gain success and growth. I’ve been learning how to unlearn that mindset.,0
DGnmkOJO5rx,chris.wfg,Spark,Spark,0
DGnmkOJO5rx,rey.king_69,A beautiful woman posted this on her insta and I’m so glad she did! Truly amazing,A beautiful woman posted this on her insta and I’m so glad she did! Truly amazing,0
DGnmkOJO5rx,asoms_villa,:clapping_hands::red_heart::red_heart:,:clapping_hands::red_heart::red_heart:,0
DGnmkOJO5rx,redeemed_by_iron,You can either suffer now or suffer later. Choose wisely. :hammer_and_pick::fire:,You can either suffer now or suffer later. Choose wisely. :hammer_and_pick::fire:,0
DGnmkOJO5rx,kashkaiorr,Yes I love this. Makes perfect sense :butterfly:,Yes I love this. Makes perfect sense :butterfly:,0
DGnmkOJO5rx,henna.faryal,"This isn't the price, it's a blessing in disguise","This isn't the price, it's a blessing in disguise",0
DGnmkOJO5rx,jrizzorn,:fire::fire::fire:,:fire::fire::fire:,0
DGnmkOJO5rx,kaynat4.bear,"Allah G, I forget about this very soon, despite agreeing that it is illogical even to think about having great success without making great efforts_ I behave undisciplined.","Allah G, I forget about this very soon, despite agreeing that it is illogical even to think about having great success without making great efforts_ I behave undisciplined.",0
DGnmkOJO5rx,rihzil,This is BS Jesus PAID THE PRICE NOW I SHALL HAVE WEALTH WITHOUT SORROW,This is BS Jesus PAID THE PRICE NOW I SHALL HAVE WEALTH WITHOUT SORROW,0
DGnmkOJO5rx,erlinaspencer,True :clapping_hands::clapping_hands::clapping_hands:,True :clapping_hands::clapping_hands::clapping_hands:,0
DGnmkOJO5rx,ms_alexis89,Thank you :raising_hands::clapping_hands:,Thank you :raising_hands::clapping_hands:,0
DGnmkOJO5rx,sowmiya_shetty,:check_mark_button:,:check_mark_button:,0
DGnmkOJO5rx,unstationary_raj,:red_heart:,:red_heart:,0
DGnmkOJO5rx,fletchedinstone,:hundred_points::bullseye:,:hundred_points::bullseye:,0
DGnmkOJO5rx,sus.bob,Thank you :smiling_face_with_sunglasses:,Thank you :smiling_face_with_sunglasses:,0
DGnmkOJO5rx,mamtamul,"When looking back, you'll praise your struggle more than tha victory itself.:heart_suit:","When looking back, you'll praise your struggle more than tha victory itself.:heart_suit:",0
DGnmkOJO5rx,jain_mystic,:red_heart:,:red_heart:,0
DGnmkOJO5rx,coycoy01,DEEP :clapping_hands_medium_skin_tone::clapping_hands_medium_skin_tone::clapping_hands_medium_skin_tone:,DEEP :clapping_hands_medium_skin_tone::clapping_hands_medium_skin_tone::clapping_hands_medium_skin_tone:,0
DGnmkOJO5rx,sole_desires_,This is the price! I definitely receive this and needed this word! :check_mark_button::check_mark_button::check_mark_button:,This is the price! I definitely receive this and needed this word! :check_mark_button::check_mark_button::check_mark_button:,0
DGnmkOJO5rx,cubanjorgee,Wow :fire::fire::fire::fire:,Wow :fire::fire::fire::fire:,0
DGnmkOJO5rx,minenchandrakarr,:red_heart::raising_hands:,:red_heart::raising_hands:,0
DGnmkOJO5rx,fckur_3rdeye,#:hundred_points::nazar_amulet::nazar_amulet:,#: Hundred_Points :: Nazar_Amlet :: Nazar_Amlet:,0
DGnmkOJO5rx,livelikefj,:clapping_hands:,:clapping_hands:,0
DGnmkOJO5rx,mvariesxxz,:face_holding_back_tears:,:face_holding_back_tears:,0
DGnmkOJO5rx,s_mags_,:raising_hands:,:raising_hands:,0
DGnmkOJO5rx,heatherhoracek,Don’t forget you literally get to choose your thoughts. So if you think your life is easy then it’s easy and if you think it’s hard then it’s hard. Just choose what you want and everything falls into place. Law of attraction :white_heart:,Don’t forget you literally get to choose your thoughts. So if you think your life is easy then it’s easy and if you think it’s hard then it’s hard. Just choose what you want and everything falls into place. Law of attraction :white_heart:,0
