post_shortcode,commenter_username,comment_text,comment_likes
DHjSCYmxG8N,alisalehi17,بسم الله الحق پیام اول از دو پیام بیانیه هدایت انقلاب اسلامی ایران بر حق درست..و ما ارسلناک الا مبشرا و نذیرا..ان الدین عند الله الاسلام..به حق هدایت حق عنوان مذهب در دین اسلام باطل است فرقه در دین خداست مصداق نفاق است موهن غیر لزوم باطل و فاسد است..و من یهن الله فما له من مکرم..هر عنوانی به نام مذهب شیعه سنی حنفی شافعی اسماعیلیه شیخیه بابیه تا آنان که از نکبت این راه به دین و فرقه ضاله بهاییت به سرکردگی سید علی محمد باب در آمدند تمام این عناوین بیراهه نفاق و ساخته نادرستان منافقان کافر باطل جهنمی است..و الله ولی المومنین..آل عمران ۶۸ غیر از این امری غیر ممکن است..فنجعل لعنت الله علی الکاذبین..باید این عنوان مذهب شیعه از قانون اساسی و بالکل از کشور و مملکت ایران در پیشگاه حق و پهنه جهانی اعلام ابطال و حذف و زدوده گردد من این مطلب و آیه را به همچنین و ویژه به کلیت نیروهای نظامی جمهوری اسلامی ایران که به نوعی نماینده ملت و بخش دولتی حق ایران هستند بر آیه الا مبشرا و نذیرا ابلاغ می کنم و میگویم آقایان افلا تعقلون؟ آیا شما به سفاهت تمام جنود یا سرباز مسخره ترین منافقان و فرعون و فرعونیان تاریخ شده اید؟ این مشایخ مستهزء از آن خمینی عُصبی کافر گرفته تا آخوند کوچه و بازار از کاهن ۱۰۰۰ ساله شان تا نورسته پلید الباطن طلبه شان اینها پیوست وجودی اول الامر حق تاریخ ایران علی پادشاه ایران که کسی مصداق انی عبدالله بوده عمدا و دانسته و از طریق کینه بطالت کفرشان بر حق..قل موتوا بغیضکم ان الله علیم بذات الصدور.. این فرقه نفاقی شیعه را بنیان نهاده و پیشگاه صراط مستقیم مردم انجام میدهند برای مومن عناوین کاذب تا غیوب زمان که حضرت شیطان منتظر مومن است طرح میکنند این ائمه هیچکدام هیچ موجودیتی در هیچ جای تاریخ ارائه شده ندارند به سالشمار ثبت حق تاریخ از اینجا به چنگیز و خوارزمشاه و سلجوقی و غزنوی و آل بویه و تا طاهریان که میبینید دو سه دهه ی اول اسلام است و به یابش حق تاریخ طاهر سپاهی ساسانی بوده و موجودیت ارتش ایران را ارائه کرده میبینید شیعه اثنی عشر معده شما به رصد حضرت شیطان و کاملا باطل است و اما شما به هدایت حق بگویید:انی عبدالله و هموطن و سرباز حق این کشور باشید به مراتب حق رجوع کنید پیشگاه حق شخصا مصداق وسعم سیستم حکومتی آماده اصلاح و بارگذاری است من حد وسعم..لا نکلف نفسا الا وسعها..به شما خدا میداند تماس هم گرفتم ارائه شده و به یاری خدا بر الا مبشرا و نذیرا و بر حق ارائه می شود و خواهد شد فقط کافیست شما شهادت و گواهی حق را بخواهید تا مصداق هدایت الهی..جاهدوا فی الله حق جهادهی,0
DHjSCYmxG8N,alisalehi17,بسم الله الحق پیام دوم از دو پیام..شیعه فاسد است اصلا لزومی در اسلام ندارد..ان الدین عند الله الاسلام.. بیانیه هدایت انقلاب در پیام نخست ارجاع شده بنیان دولت حق ایران هستم بر حقانیت مردم حق از دولت فاسد جمهوری اسلامی بریده ایم..غیر المغضوب علیهم و لا الضالین.. اصلا دولتمان سواست نامش هم حکومت فرنشین اسلامی ایران است مراتب را پیشگاه پروردگار حق ارجاع کرده ام به مراتب حق رجوع کنید و به حق ملحق شوید کمینه بسم الله الحق بگویید به ما ملحق شوید خاک بر سر هر که به هر درکی میخواهد برود.. الله ولی الذین ءامنوا یخرجونهم من الظلمات الی نور والذین کفروا اولیاءهم الطاغوت یخرجونهم من نور الی الظلمات... هر چه سریعتر و اضطراری به مراتب حق رجوع کنید وگرنه پیشگاه پروردگار حق برای من.. و ما ارسلناک الا مبشرا و نذیرا است.. به مراتب حق رجوع کنید با همه شما از ایران تا بندگان الله رب العالمین هستم بسیار بسیار اضطراری به مراتب حق رجوع کنید.. و لا نکلف نفسا الا وسعها... اهدنا الصراط المستقیم یا الله.. الله یستهزئ بهم و یمدهم فی طغیانهم یعمهون.. فنجعل لعنت الله علی الکاذبین.. و ان یکاد الذین کفروا لیزلقونک بابصارهم لما سمعوا الذکر و یقولون انه لمجنون و ما هو الا ذکر للعالمین..بسم الله الحق,0
DHjSCYmxG8N,dm2464924,President Of The People :red_heart:,1
DHjSCYmxG8N,lovesdogs1942,I believe it meant a lot to the wrestlers to have President Trump and Musk attend :clapping_hands::clapping_hands::clapping_hands::red_heart::United_States::blue_heart:,1
DHjSCYmxG8N,philafoodsnob,Picture #1 looks like he's trying to give a wet willy!,0
DHjSCYmxG8N,blakkchyna8,I wouldn’t want to be around someone that’s a target… might get sh*t,1
DHjSCYmxG8N,forever.rtc,"NCAA, Super Bowl, and golf daily. Does this grifter do any work?",0
DHjSCYmxG8N,innovativeinvestigator,Hey Trump can you please provide this much enthusiasm towards life saving practitioners and science endeavors? Or are we too busy making weird faces again?,0
DHjSCYmxG8N,forever.rtc,,0
DHjSCYmxG8N,forever.rtc,Feel bad for the wrestlers; they probably don't want to go near Ditler but do bcoz of national television.,0
DHjSCYmxG8N,_romanjoseph,:United_States::United_States::United_States:,1
DHjSCYmxG8N,dukebakari8,:United_States::United_States::United_States::folded_hands_dark_skin_tone:,1
DHjSCYmxG8N,chuckb4254,:face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting:,0
DHjSCYmxG8N,triciadollkennedy,:heart_suit::white_heart::blue_heart:,0
DHjSCYmxG8N,nzawicki,Man if the people,0
DHjSCYmxG8N,gonzomadeit_,Great Guy!,1
DHjSCYmxG8N,captainmonde,Rare W,0
DHjSCYmxG8N,ms.jasmine.shea,What a fucking waste of tax dollars money especially when your bone spurs and cholesterol has kept you from doing anything athletic.,0
DHjSCYmxG8N,sharks_n_snakes,:fire::fire::fire::fire::fire:,1
DHjSCYmxG8N,plata0pl0m0_,That’s my guy!! UNCLE TRUMP!!!!! :United_States::United_States::United_States: keep doing a great job :clapping_hands: you stood on business Day 1 Super respect you for keeping ya word,0
DHjSCYmxG8N,_k.a.s.h.a.n_,Welcome to my INDIAN Village Trump Sahab..!!:India::face_with_tears_of_joy:,1
DHjSCYmxG8N,guitarduende72,:United_States:,1
DHjSCYmxG8N,saint.tessa,Germany is increasing its military…,0
DHjSCYmxG8N,anneliei71,Du är farlig släpp fångarna fria:loudly_crying_face::folded_hands:,0
DHjSCYmxG8N,robbidana,What did this trip cost us? School lunches for kids?,0
DHjSCYmxG8N,coachalexjoseph,Thank you for being the first president to support Wrestling. Greatest president that ever lived. I nominate Trump for king of the world. Deport all liberals and communists to Iran.,0
DHjSCYmxG8N,anneliei71,"Release the prisoners, support Ukraine, and leave Canada and Greenland alone. :folded_hands:",0
DHjSCYmxG8N,laundro58,Man of the people.,0
DHjSCYmxG8N,badfish239er,I didn’t think I could like the man any more than I do. :United_States: :men_wrestling:,0
DHjSCYmxG8N,realpatriot2025,Dude. You couldn’t wrestle your way out of a wet paper sack. :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DHjSCYmxG8N,sjjgrandma23,:folded_hands_light_skin_tone::red_heart::United_States::latin_cross:,1
DHjSCYmxG8N,ljunooooooo,Failed president and he puts white guy on his story not the others. He is the most disgusting human to exist in 2025. Get this man out the White House,0
DHjSCYmxG8N,drew.khairi,:clapping_hands::United_States:,1
DHjSCYmxG8N,liamjones077,GO BIG RED!,1
DHjSCYmxG8N,gavyn._.sammel,anything but presidenting,0
DHjSCYmxG8N,thefantas11,WORST :United_States:,0
DHjSCYmxG8N,rebeccarustler,Traitors...,0
DHjSCYmxG8N,mike_macch,:clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone:,2
DHjSCYmxG8N,uncleflizz,Mans face looks like a football that’s been left on the roof all summer.,0
DHjSCYmxG8N,mrcalahan,"""Elderly man sundowning in public""",0
DHjSCYmxG8N,getlostglobalists,"reredrum, feiht, rail, tsissicran, yllub",0
DHjSCYmxG8N,brucebanko,Guy just keeps wasting taxpayer money AND inconveniencing taxpayers by going to these events. Get a clue man,0
DHjSCYmxG8N,leandro_jaquez_conceicao,":wine_glass:I am Jesus, I am Kurt Cobain I remember my past life since I was a child, I want to do a World Reforestation, clean the environment, help the children of Africa, I want to rebuild all the ruins, Roman Coliseum, Egypt, Pantheon, we must evolve the planet Earth and I am the Messiah and the New Testament, I played guitar 20 years ago, I want to save the environment for future generations and our future Reincarnations, eliminate prisons, eliminate drugs, no gay teachers in schools, I want to make a worldwide awareness about nature and if we do it as soon as possible better for planet Earth, clean oceans, World Reforestation, bright future in my guitar:globe_showing_Americas::wine_glass::folded_hands::green_heart::guitar::musical_score::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree::deciduous_tree:
https://www.facebook.com/share/v/1UcktSu4sH",0
DHjSCYmxG8N,carlosmelendez,You are so ridiculous :clown_face::clown_face::clown_face:,0
DHjSCYmxG8N,el_chupacabra_rh975,"@potus @petehegseth @vp let’s rename Fort Cavazos back to Fort Hood by naming Hood in honor of all Soldiers in the US Army with the surname of Hood. :face_with_monocle:
I am sure the signs are in storage somewhere.",0
DHjSCYmxG8N,hermosaleda,Small hands.,0
DHjSCYmxG8N,mohamadali1372hsh,:United_States::United_States::United_States::United_States::United_States::United_States:,1
DHjSCYmxG8N,nour_h_88,"You are betting on losers. israel is a failure. No amount of lies or backing can save its doomed project. The world sees it, and unless you change your path, you will be remembered as imbecile an for supporting a sinking regime. Free Palestine :Palestinian_Territories::Palestinian_Territories::Palestinian_Territories:",0
DHjSCYmxG8N,hi5mcfly,,0
DHjSCYmxG8N,zug_gal,Nice! :clapping_hands::clapping_hands::clapping_hands::United_States::United_States::United_States:,1
DHjSCYmxG8N,ed_nosnibor,Content President:fire::fire::fire:,1
DHjSCYmxG8N,chrisman_corey,The one time I'll cheer against nebraska :United_States:,0
DHjSCYmxG8N,mcarri3,That’s the ol “grab em by the pu**y” move isn’t it?,0
DHjSCYmxG8N,omgitsbethanyd,,0
DHjSCYmxG8N,barbara.s.cruz,Broke man with little hands that no one likes! So what!,0
DHjSCYmxG8N,matin.a.ms,:red_heart::red_heart::red_heart::blue_heart::blue_heart::blue_heart:Best President:blue_heart::blue_heart::blue_heart::red_heart::red_heart::red_heart:,1
DHjSCYmxG8N,matin.a.ms,:red_heart::United_States:I love you trump:blue_heart::United_States:,1
DHjSCYmxG8N,matin.a.ms,:red_heart::red_heart::blue_heart::blue_heart:,1
DHjSCYmxG8N,bisan6378,Baby killer .His hands is coloured by the blood of Palestinians.You will face the karma .,0
DHjSCYmxG8N,poppy.papi156,,0
DHjSCYmxG8N,poppy.papi156,,0
DHjSCYmxG8N,go_eugene_,"The word “respect” in one image, picture, photo… in any context of your choice makes it even better.",0
DHjSCYmxG8N,lshwshrwwf,"I want to speak to President Trump, or the First Lady at the White House, or the Secretary of Defense, or any official you have, because of the importance and danger. Get my message to them as soon as possible.",0
DHjSCYmxG8N,virgiebyard,Wonder why he went.:enraged_face:,0
DHjSCYmxG8N,vitali.newman,"Dear Tesla Press Office & WH 

I am writing to express deep concern regarding a public gesture made by Elon Musk, CEO of your company, during a recent public event. The gesture strongly resembled the Nazi salute—a symbol directly associated with fascist ideology and crimes against humanity.

This is not an abstract issue to me. My mother, grandfather, and grandmother were prisoners in Nazi concentration camps. Their lives were permanently scarred by the fascist regime. Any imitation of such gestures—even if unintentional—is deeply offensive to survivors, their descendants, and all those affected by Nazi ideology.",0
DHjSCYmxG8N,helenchristina82,MEOW :cat: MEOW :cat: MEOW :cat:,0
DHjSCYmxG8N,chenmeisyue,:clapping_hands::clapping_hands:,1
DHjSCYmxG8N,sandamiano3,Draft dodger couldn’t hold a candle to these wrestlers!,0
DHjSCYmxG8N,danbonnie75,,0
DHjSCYmxG8N,saucedrippablo,Nobody gives af lol,0
DHjSCYmxG8N,saucedrippablo,,0
DHjSCYmxG8N,_1luhhkay5,I hate you trump jsut letting u know,0
DHjSCYmxG8N,kisidikakabangu25,Bonsoir ça va,0
DHjSCYmxG8N,ma.ma.ma.ma._,Took a break from playing golf and firing veterans? When’s the price of eggs coming down?,0
DHjSCYmxG8N,epatquinn,Trump wrestled too I think,0
DHjSCYmxG8N,dan.crate,Eggcellent,0
DHjSCYmxG8N,firestoppa42,"Leading by example.  Thank you, Mr. President!",0
DHjSCYmxG8N,dis2101,Is that the flag wrapped around this wrestler? That is totally disrespectful.  This is just another weekend with the Trump reality show. It’s a production for MAGA.,0
DHjSCYmxG8N,kashh_jpg,"how can you claim to represent working class people when all you’ve done is try to cut taxes for the wealthy, cut social programs like medicaid and social security, go golfing for 40% of your presidency, and show up at events that only the rich can afford??? @MAGA, you really believe this man is fighting for you???",0
DHjSCYmxG8N,michelle_oden,That's our President supporting USA :United_States: :red_heart:,1
DHjSCYmxG8N,gloriajroberts,Cult,0
DHjSCYmxG8N,vanessa_valentina.apu,Soo awesome! I love that you go to these American sports events to show your support for the sport & the American Athletes. You do Soo much everyday & night yet still make the time to spend some with the American people. Keep up the great work Sir. I'm looking forward to seeing how much better this country is by next year.,0
DHjSCYmxG8N,kashh_jpg,#impeachtrump,0
DHjSCYmxG8N,all__blues,Fud,0
DHjSCYmxG8N,bryanmark132,They all one family me one you have saving them all alone. They only use me when they want to show off for friends.,0
